row_num,r_name,r_address,r_number,r_type
2,Apple Pan The,10801 W. Pico Blvd. West LA,310-475-3585,American
3,Arnie Morton's of Chicago,435 S. La Cienega Blvd. Los Angeles,310-246-1501,Steakhouses
4,Art's Deli,12224 Ventura Blvd. Studio City,818-762-1221,Delis
5,Asahi Ramen,2027 Sawtelle Blvd. West LA,310-479-2231,Noodle Shops
6,Baja Fresh,3345 Kimber Dr. Westlake Village,805-498-4049,Mexican
7,Bel-Air Hotel,701 Stone Canyon Rd. Bel Air,310-472-1211,Californian
8,Belvedere The,9882 Little Santa Monica Blvd. Beverly Hills,310-788-2306,Pacific New Wave
9,Benita's Frites,1433 Third St. Promenade Santa Monica,310-458-2889,Fast Food
10,Bernard's,515 S. Olive St. Los Angeles,213-612-1580,Continental
11,Bistro,45 45 S. Mentor Ave. Pasadena,818-795-2478,Californian
12,Brent's Deli,19565 Parthenia Ave. Northridge,818-886-5679,Delis
13,Brighton Coffee Shop,9600 Brighton Way Beverly Hills,310-276-7732,Coffee Shops
14,Bristol Farms Market Cafe,1570 Rosecrans Ave. S. Pasadena,310-643-5229,Californian
15,Bruno's,3838 Centinela Ave. Mar Vista,310-397-5703,Italian
16,Cafe '50s,838 Lincoln Blvd. Venice,310-399-1955,American
17,Cafe Bizou,14016 Ventura Blvd. Sherman Oaks,818-788-3536,French Bistro
18,Cafe Blanc,9777 Little Santa Monica Blvd. Beverly Hills,310-888-0108,Pacific New Wave
19,Campanile,624 S. La Brea Ave. Los Angeles,213-938-1447,Californian
20,Cassell's,3266 W. Sixth St. LA,213-480-8668,Hamburgers
21,Chez Melange,1716 PCH Redondo Beach,310-540-1222,Eclectic
22,Chinois on Main,2709 Main St. Santa Monica,310-392-9025,Pacific New Wave
23,Citrus,6703 Melrose Ave. Los Angeles,213-857-0034,Californian
24,Diaghilev,1020 N. San Vicente Blvd. W. Hollywood,310-854-1111,Russian
25,Don Antonio's,1136 Westwood Blvd. Westwood,310-209-1422,Italian
26,Duke's,8909 Sunset Blvd. W. Hollywood,310-652-3100,Coffee Shops
27,Falafel King,1059 Broxton Ave. Westwood,310-208-4444,Middle Eastern
